TENANT_ID,TABLE_SCHEM,TABLE_NAME,COLUMN_NAME,COLUMN_FAMILY,TABLE_SEQ_NUM,TABLE_TYPE,PK_NAME,COLUMN_COUNT,SALT_BUCKETS,DATA_TABLE_NAME,INDEX_STATE,IMMUTABLE_ROWS,VIEW_STATEMENT,DEFAULT_COLUMN_FAMILY,DISABLE_WAL,MULTI_TENANT,VIEW_TYPE,VIEW_INDEX_ID,DATA_TYPE,COLUMN_SIZE,DECIMAL_DIGITS,NULLABLE,ORDINAL_POSITION,SORT_ORDER,ARRAY_SIZE,VIEW_CONSTANT,IS_VIEW_REFERENCED,KEY_SEQ,LINK_TYPE,TYPE_NAME,REMARKS,SELF_REFERENCING_COL_NAME,REF_GENERATION,BUFFER_LENGTH,NUM_PREC_RADIX,COLUMN_DEF,SQL_DATA_TYPE,SQL_DATETIME_SUB,CHAR_OCTET_LENGTH,IS_NULLABLE,SCOPE_CATALOG,SCOPE_SCHEMA,SCOPE_TABLE,SOURCE_DATA_TYPE,IS_AUTOINCREMENT,INDEX_TYPE,INDEX_DISABLE_TIMESTAMP,STORE_NULLS,BASE_COLUMN_COUNT,IS_ROW_TIMESTAMP,TRANSACTIONAL,UPDATE_CACHE_FREQUENCY,IS_NAMESPACE_MAPPED,AUTO_PARTITION_SEQ,APPEND_ONLY_SCHEMA,GUIDE_POSTS_WIDTH,COLUMN_QUALIFIER,IMMUTABLE_STORAGE_SCHEME,ENCODING_SCHEME,QUALIFIER_COUNTER,USE_STATS_FOR_PARALLELIZATION
,,BGALLSALES,LOYALTYDISCOUNTAMT,0,,,,,,,,,,,,,,,6,,,1,21,2,,,false,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,
,,BGALLSALES,MRP,0,,,,,,,,,,,,,,,6,,,1,34,2,,,false,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,
,,BGALLSALES,MRPAMT,0,,,,,,,,,,,,,,,6,,,1,3,2,,,false,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,
,,BGALLSALES,NETAMT,0,,,,,,,,,,,,,,,6,,,1,19,2,,,false,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,
,,BGALLSALES,PROMOAMT,0,,,,,,,,,,,,,,,6,,,1,2,2,,,false,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,
,,BGALLSALES,RETURNAMT,0,,,,,,,,,,,,,,,6,,,1,35,2,,,false,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,
,,BGALLSALES,RSP,0,,,,,,,,,,,,,,,6,,,1,32,2,,,false,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,
,,BGALLSALES,SALEAMT,0,,,,,,,,,,,,,,,6,,,1,31,2,,,false,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,
,,BGALLSALES,SALEQTY,0,,,,,,,,,,,,,,,6,,,1,36,2,,,false,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,
,,BGALLSALES,SECTION,0,,,,,,,,,,,,,,,12,,,1,4,2,,,false,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,
,,BGALLSALES,TAXAMT,0,,,,,,,,,,,,,,,6,,,1,18,2,,,false,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,
,,BGALLSALES,TOTALDISCOUNTAMT,0,,,,,,,,,,,,,,,6,,,1,40,2,,,false,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,
,,BGALLSTOCK,,,0,u,,7,20,,,false,,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,-1,,false,0,false,,false,,,1,0,,
,,BGALLSTOCK,ADMSITE_CODE,0,,,,,,,,,,,,,,,12,,,1,5,2,,,false,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,
,,BGALLSTOCK,COUNT_QTY,0,,,,,,,,,,,,,,,6,,,1,4,2,,,false,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,
,,BGALLSTOCK,ICODE,0,,,,,,,,,,,,,,,12,,,1,3,2,,,false,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,
,,BGALLSTOCK,ID,,,,,,,,,,,,,,,,12,,,0,1,2,,,false,1,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,
,,BGALLSTOCK,LOCCODE,0,,,,,,,,,,,,,,,12,,,1,2,2,,,false,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,
,,BGALLSTOCK,TAKENDATE,0,,,,,,,,,,,,,,,91,,,1,6,2,,,false,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,
,,BGCWHSTOCK,,,0,u,,10,20,,,false,,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,-1,,false,0,false,,false,,,1,0,,
,,BGCWHSTOCK,ADMSITE_CODE,0,,,,,,,,,,,,,,,12,,,1,5,2,,,false,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,
,,BGCWHSTOCK,BARCODE,0,,,,,,,,,,,,,,,12,,,1,2,2,,,false,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,
,,BGCWHSTOCK,DEPARTMENT,0,,,,,,,,,,,,,,,12,,,1,7,2,,,false,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,
,,BGCWHSTOCK,DIVISION,0,,,,,,,,,,,,,,,12,,,1,8,2,,,false,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,
,,BGCWHSTOCK,ICODE,0,,,,,,,,,,,,,,,12,,,1,3,2,,,false,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,
,,BGCWHSTOCK,ID,,,,,,,,,,,,,,,,12,,,0,1,2,,,false,1,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,
,,BGCWHSTOCK,QTY,0,,,,,,,,,,,,,,,6,,,1,4,2,,,false,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,
,,BGCWHSTOCK,SECTION,0,,,,,,,,,,,,,,,12,,,1,9,2,,,false,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,
,,BGCWHSTOCK,TAKENDATE,0,,,,,,,,,,,,,,,91,,,1,6,2,,,false,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,
,,BGFRESHCAT,,,0,u,,8,20,,,false,,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,-1,,false,0,false,,false,,,1,0,,
,,BGFRESHCAT,CREATED_AT,0,,,,,,,,,,,,,,,93,,,1,6,2,,,false,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,
,,BGFRESHCAT,DESCRIPTION,0,,,,,,,,,,,,,,,12,,,1,4,2,,,false,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,
,,BGFRESHCAT,ID,,,,,,,,,,,,,,,,12,,,0,1,2,,,false,1,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,
,,BGFRESHCAT,PARENT_ID,0,,,,,,,,,,,,,,,12,,,1,2,2,,,false,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,
,,BGFRESHCAT,STATUS,0,,,,,,,,,,,,,,,12,,,1,5,2,,,false,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,
,,BGFRESHCAT,TITLE,0,,,,,,,,,,,,,,,12,,,1,3,2,,,false,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,
,,BGFRESHCAT,UPDATED_AT,0,,,,,,,,,,,,,,,93,,,1,7,2,,,false,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,
,,BGFRESHORDERPLACEMENT,,,0,u,,18,,,,false,,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,-1,,false,0,false,,false,,,1,0,,
,,BGFRESHORDERPLACEMENT,CREATED_AT,0,,,,,,,,,,,,,,,93,,,1,2,2,,,false,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,
,,BGFRESHORDERPLACEMENT,DEPARTMENT,0,,,,,,,,,,,,,,,12,,,1,4,2,,,false,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,
,,BGFRESHORDERPLACEMENT,ID,0,,,,,,,,,,,,,,,4,,,1,5,2,,,false,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,
,,BGFRESHORDERPLACEMENT,ITEM,0,,,,,,,,,,,,,,,12,,,1,9,2,,,false,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,
,,BGFRESHORDERPLACEMENT,ITEM_CODE,0,,,,,,,,,,,,,,,12,,,1,10,2,,,false,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,
